"Gemeenten 2020","Gemeenten 2020 (gemnaam)","Gemeenten 2020 (Overgewicht)","Gemeenten 2020 (Bevolking)"
"Krimpenerwaard","Krimpenerwaard",52,4,44310
"De Fryske Marren","De Fryske Marren",51,8,40820
"Gooise Meren","Gooise Meren",44,2,44334
"Berg en Dal","Berg en Dal",52,2,28250
"Meierijstad","Meierijstad",52,65093
"Waadhoeke","Waadhoeke",53,4,36275
"Westerwolde","Westerwolde",60,9,20242
"Midden-Groningen","Midden-Groningen",59,2,48583
"Beekdaelen","Beekdaelen",56,29694
"Montferland","Montferland",55,5,29536
"Altena","Altena",54,43577
"West Betuwe","West Betuwe",53,2,39982
"Vijfheerenlanden","Vijfheerenlanden",53,5,44726
"Hoeksche Waard","Hoeksche Waard",55,3,69698
"Het Hogeland","Het Hogeland",53,2,37937
"Westerkwartier","Westerkwartier",52,7,49110
"Noardeast-Fryslân","Noardeast-Fryslân",53,3,35440
"Molenlanden","Molenlanden",52,4,33673
