"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"976";"10000";"MBG0095";"GM0415";"    82.8";"    14.7";"     8.8";"     2.9";"    54.8";"    51.4";"    37.2";"    16.9";"    52.4";"    55.1";"    18.4";"    10.1"
"977";"10000";"MBG0095";"GM0416";"    84.7";"    13.3";"     9.1";"     3.5";"    54.0";"    51.7";"    40.0";"    14.1";"    56.6";"    62.2";"    16.2";"     8.2"
"978";"10000";"MBG0095";"GM1621";"    87.7";"    10.2";"     7.0";"     1.1";"    59.0";"    47.6";"    35.4";"    14.8";"    55.0";"    60.6";"    14.6";"     9.0"
"979";"10000";"MBG0095";"GM0417";"    88.4";"    11.8";"     7.5";"     4.8";"    58.2";"    47.2";"    37.9";"    12.0";"    50.5";"    60.6";"    14.7";"    13.6"
"980";"10000";"MBG0095";"GM0080";"    82.5";"    12.6";"     8.2";"     3.3";"    51.6";"    52.1";"    38.0";"    16.0";"    60.6";"    52.4";"    21.6";"    10.2"
"981";"10000";"MBG0095";"GM0546";"    83.7";"    12.0";"     7.7";"     4.0";"    59.3";"    42.1";"    30.6";"    12.9";"    58.4";"    60.4";"    19.6";"     8.3"
"982";"10000";"MBG0095";"GM0547";"    84.6";"    16.9";"    11.7";"     3.5";"    56.4";"    50.0";"    35.4";"    17.4";"    54.0";"    55.8";"    17.2";"     8.9"
"983";"10000";"MBG0095";"GM1916";"    80.3";"    16.2";"    10.6";"     2.4";"    52.2";"    49.2";"    35.9";"    14.4";"    49.8";"    55.6";"    15.1";"     6.3"
"984";"10000";"MBG0095";"GM0995";"    78.3";"    21.2";"    14.7";"     2.7";"    48.8";"    59.2";"    41.8";"    20.9";"    55.3";"    49.7";"    21.1";"     4.8"
"985";"10000";"MBG0095";"GM1640";"    80.7";"    16.4";"     8.7";"     2.3";"    50.0";"    54.2";"    40.6";"    15.5";"    53.1";"    49.9";"    18.7";"     7.7"
"986";"10000";"MBG0095";"GM0327";"    84.6";"    12.7";"     8.5";"     2.6";"    56.6";"    47.9";"    36.1";"    13.9";"       .";"       .";"    14.4";"     7.1"
"987";"10000";"MBG0095";"GM1705";"    83.0";"    16.9";"    10.6";"     2.9";"    48.7";"    55.9";"    39.7";"    18.5";"    55.7";"    57.9";"    17.3";"     7.3"
"988";"10000";"MBG0095";"GM0553";"    83.6";"    15.2";"    10.1";"     3.8";"    54.3";"    51.7";"    39.9";"    14.7";"    50.7";"    55.4";"    19.1";"    11.0"
"989";"10000";"MBG0095";"GM0262";"    83.1";"    16.1";"     9.6";"     2.6";"    52.5";"    52.4";"    39.0";"    15.7";"    55.3";"    53.8";"    15.4";"     8.1"
"990";"10000";"MBG0095";"GM0809";"    79.7";"    21.0";"    14.4";"     3.2";"    50.7";"    55.7";"    37.7";"    21.0";"    50.6";"    53.9";"    17.9";"    10.9"
"991";"10000";"MBG0095";"GM0331";"    84.3";"    15.3";"     9.7";"     2.0";"    56.1";"    50.6";"    38.3";"    15.1";"       .";"       .";"    16.4";"     6.7"
"992";"10000";"MBG0095";"GM0024";"    77.8";"    17.7";"    11.6";"     2.9";"    46.9";"    59.8";"    40.4";"    22.8";"    47.9";"    47.2";"    20.7";"    11.0"
"993";"10000";"MBG0095";"GM0168";"    82.4";"    20.5";"    12.3";"     1.5";"    44.3";"    61.9";"    43.8";"    21.2";"    55.9";"    52.5";"    17.2";"    11.6"
"994";"10000";"MBG0095";"GM0263";"    79.6";"    17.4";"    10.1";"     2.6";"    46.9";"    59.5";"    42.8";"    19.6";"    45.0";"    46.8";"    24.1";"     6.2"
"995";"10000";"MBG0095";"GM1641";"    79.7";"    18.7";"    12.8";"     2.5";"    48.4";"    56.6";"    40.7";"    18.3";"    53.1";"    47.0";"    19.2";"     7.3"
"996";"10000";"MBG0095";"GM0556";"    79.1";"    20.6";"    13.1";"     4.1";"    48.0";"    58.1";"    38.2";"    23.4";"    44.7";"    50.0";"    20.0";"     7.9"
"997";"10000";"MBG0095";"GM0935";"    76.8";"    18.6";"    12.3";"     3.2";"    53.4";"    47.2";"    32.3";"    15.9";"    52.7";"    52.0";"    22.4";"     8.6"
"998";"10000";"MBG0095";"GM0420";"    84.1";"    15.6";"     9.3";"     2.4";"    51.5";"    54.2";"    42.2";"    14.2";"    56.5";"    54.7";"    17.9";"    11.7"
"999";"10000";"MBG0095";"GM0938";"    78.3";"    17.5";"    11.4";"     2.7";"    48.6";"    55.1";"    40.5";"    16.5";"    48.7";"    51.8";"    17.6";"     6.5"
"1000";"10000";"MBG0095";"GM1948";"    80.5";"    17.0";"    11.0";"     2.7";"    49.6";"    54.2";"    39.9";"    16.2";"    54.2";"    59.6";"    16.0";"     8.2"
"1001";"10000";"MBG0095";"GM0119";"    84.3";"    18.3";"    10.8";"     1.6";"    52.6";"    55.9";"    43.2";"    16.0";"    55.9";"    50.9";"    24.9";"    11.4"
"1002";"10000";"MBG0095";"GM0687";"    81.5";"    15.9";"     8.8";"     2.8";"    56.2";"    49.7";"    38.8";"    13.2";"    56.1";"    50.9";"    17.9";"     7.6"
"1003";"10000";"MBG0095";"GM1842";"    87.4";"    11.9";"     6.2";"     3.1";"    58.5";"    45.6";"    34.6";"    12.8";"    57.5";"    60.2";"    12.1";"     7.6"
"1004";"10000";"MBG0095";"GM1731";"    83.1";"    16.2";"    11.5";"     2.9";"    52.1";"    55.8";"    39.7";"    19.4";"    54.8";"    53.7";"    18.7";"    12.1"
"1005";"10000";"MBG0095";"GM1952";"    76.2";"    18.8";"    14.0";"     3.7";"    40.7";"    64.3";"    45.3";"    22.0";"    49.7";"    44.0";"    21.5";"     6.5"
"1006";"10000";"MBG0095";"GM0815";"    81.8";"    17.6";"     9.6";"     3.1";"    49.8";"    54.9";"    39.9";"    17.3";"    56.3";"    55.6";"    12.5";"     7.5"
"1007";"10000";"MBG0095";"GM1709";"    81.2";"    19.0";"    12.5";"     4.4";"    46.3";"    60.1";"    39.9";"    23.8";"    47.8";"    50.4";"    19.6";"     9.7"
"1008";"10000";"MBG0095";"GM1978";"    86.0";"    13.6";"     8.8";"     2.7";"    52.1";"    53.5";"    38.1";"    17.9";"    51.2";"    48.5";"    16.8";"     9.4"
"1009";"10000";"MBG0095";"GM1955";"    79.0";"    19.5";"    13.7";"     1.6";"    45.8";"    60.7";"    42.4";"    21.0";"    52.7";"    53.1";"    17.3";"     6.8"
"1010";"10000";"MBG0095";"GM0335";"    86.0";"    11.6";"     6.5";"     2.8";"    53.6";"    51.4";"    38.1";"    15.6";"       .";"       .";"    15.3";"     8.7"
"1011";"10000";"MBG0095";"GM0944";"    85.4";"    16.8";"     9.3";"     2.9";"    58.9";"    47.2";"    37.5";"    12.0";"    60.4";"    58.9";"    14.4";"     9.0"
"1012";"10000";"MBG0095";"GM1740";"    80.7";"    17.4";"    10.5";"     1.9";"    44.2";"    61.3";"    40.9";"    23.1";"    43.8";"    40.5";"    19.4";"     5.2"
