"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen5Km_4";"AfstandTotGroteSupermarkt_20";"Binnen5Km_23";"AfstandTotWarenhuis_28";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen5Km_43";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotBos_90";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102"
"1438";"GM0203";"2020JJ00";"     1.3";"     4.0";"     1.1";"     8.2";"     2.7";"    17.4";"     1.8";"     4.4";"     1.2";"    16.0";"     1.6";"    17.5";"       .";"       .";"       .";"       .";"     1.4";"     3.3";"    18.5"
"1454";"GM0005";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1470";"GM0888";"2020JJ00";"     1.0";"    12.7";"     1.0";"    13.8";"     2.3";"    20.1";"     0.5";"    44.7";"     0.6";"    52.7";"     0.6";"    51.8";"       .";"       .";"       .";"       .";"     1.6";"     1.9";"     8.5"
"1486";"GM1954";"2020JJ00";"     0.9";"     8.7";"     1.1";"    11.2";"     4.1";"    17.7";"     0.7";"    27.5";"     0.7";"    39.7";"     0.7";"    37.7";"       .";"       .";"       .";"       .";"     1.3";"     3.9";"     8.9"
"1502";"GM0370";"2020JJ00";"     1.5";"     7.0";"     1.6";"     7.4";"     5.1";"    17.8";"     1.2";"    11.7";"     1.4";"    19.0";"     1.1";"    27.1";"       .";"       .";"       .";"       .";"     1.4";"     6.3";"    16.9"
"1518";"GM0889";"2020JJ00";"     1.0";"     3.7";"     0.7";"     6.6";"     1.5";"     8.0";"     0.7";"    10.7";"     0.6";"    15.4";"     0.8";"    14.6";"       .";"       .";"       .";"       .";"     2.6";"     1.4";"    11.6"
"1534";"GM0007";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1550";"GM0372";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1566";"GM1945";"2020JJ00";"     1.0";"     5.4";"     0.9";"     7.7";"     5.6";"    11.1";"     1.4";"    18.3";"     0.9";"    24.0";"     1.0";"    33.8";"       .";"       .";"       .";"       .";"     1.1";"     7.4";"    10.2"
"1582";"GM0491";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1598";"GM1724";"2020JJ00";"     1.2";"     4.2";"     1.3";"     4.5";"     2.8";"    12.8";"     0.8";"     8.1";"     1.0";"    11.3";"     0.8";"    11.7";"       .";"       .";"       .";"       .";"     3.3";"    19.1";"    19.4"
"1614";"GM0893";"2020JJ00";"     2.2";"     1.4";"     2.4";"     2.7";"     4.5";"     4.7";"     1.4";"     3.4";"     1.1";"     5.3";"     0.7";"     9.4";"       .";"       .";"       .";"       .";"     1.6";"     8.1";"    28.7"
"1630";"GM0373";"2020JJ00";"     1.3";"     3.9";"     0.9";"     7.4";"     3.9";"    11.8";"     1.1";"     8.8";"     0.7";"    23.7";"     0.7";"    34.3";"       .";"       .";"       .";"       .";"     1.5";"     6.4";"     7.6"
"1646";"GM0748";"2020JJ00";"     0.9";"    10.7";"     0.8";"    16.2";"     2.0";"     5.0";"     1.0";"    47.6";"     0.6";"    49.5";"     0.8";"    53.0";"       .";"       .";"       .";"       .";"     1.9";"     2.7";"    14.7"
"1662";"GM0492";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1678";"GM0493";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1694";"GM1859";"2020JJ00";"     1.6";"     2.4";"     1.5";"     3.5";"     2.8";"    11.4";"     2.2";"     3.6";"     1.3";"     6.5";"     1.1";"     8.3";"       .";"       .";"       .";"       .";"     1.3";"     9.4";"    23.3"
"1710";"GM1721";"2020JJ00";"     1.3";"     6.3";"     1.0";"     8.1";"     3.7";"    16.3";"     0.8";"    12.3";"     0.7";"    19.8";"     1.0";"    24.5";"       .";"       .";"       .";"       .";"     2.2";"     8.0";"    18.4"
"1726";"GM0568";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1742";"GM0753";"2020JJ00";"     0.9";"    10.7";"     0.7";"     9.5";"     1.7";"    23.0";"     1.1";"     9.8";"     0.6";"    15.9";"     0.8";"    23.1";"       .";"       .";"       .";"       .";"     1.6";"     1.5";"    11.2"
"1758";"GM0209";"2020JJ00";"     0.9";"     8.1";"     1.0";"     8.1";"     2.2";"    14.4";"     1.2";"    13.1";"     0.9";"    29.6";"     0.8";"    29.3";"       .";"       .";"       .";"       .";"     2.6";"     6.8";"     8.0"
"1774";"GM0375";"2020JJ00";"     0.7";"    20.1";"     0.6";"    22.8";"     1.8";"    21.9";"     0.6";"    35.8";"     0.5";"    58.8";"     0.5";"    66.7";"       .";"       .";"       .";"       .";"     1.6";"     1.8";"    13.0"
"1790";"GM0063";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1806";"GM0310";"2020JJ00";"     1.0";"    11.5";"     0.9";"    15.3";"     2.2";"    35.4";"     1.7";"    14.3";"     1.0";"    35.7";"     0.7";"    68.7";"       .";"       .";"       .";"       .";"     1.6";"     2.5";"     8.2"
"1822";"GM0585";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1838";"GM1728";"2020JJ00";"     1.3";"     6.7";"     1.5";"     6.0";"     2.4";"    10.9";"     0.7";"    14.1";"     0.7";"    18.2";"     0.9";"    19.3";"       .";"       .";"       .";"       .";"     1.5";"    20.4";"    21.7"
"1854";"GM0376";"2020JJ00";"     1.0";"    12.5";"     0.8";"    15.5";"     3.1";"    18.3";"     2.0";"     3.4";"     0.8";"    30.9";"     0.6";"    55.0";"       .";"       .";"       .";"       .";"     1.4";"     8.0";"     9.3"
"1870";"GM0495";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1886";"GM0377";"2020JJ00";"     0.9";"    24.1";"     0.7";"    28.3";"     2.5";"    25.5";"     1.3";"    58.2";"     0.7";"   107.7";"     0.7";"   163.7";"       .";"       .";"       .";"       .";"     1.2";"     1.8";"     5.2"
"1902";"GM0055";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1918";"GM0497";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1934";"GM1901";"2020JJ00";"     1.1";"     6.6";"     0.8";"     6.8";"     3.0";"    14.1";"     1.1";"     7.3";"     1.0";"    21.5";"     1.1";"    23.9";"       .";"       .";"       .";"       .";"     1.3";"     3.0";"     8.5"
